Date,Open,High,Low,Close,Adj Close,Volume
2017-08-28,73.059998,73.089996,72.550003,72.830002,72.830002,14569700
2017-08-29,72.250000,73.160004,72.050003,73.050003,73.050003,11478400
2017-08-30,73.010002,74.209999,72.830002,74.010002,74.010002,16897800
2017-08-31,74.029999,74.959999,73.800003,74.769997,74.769997,27652800
2017-09-01,74.709999,74.739998,73.639999,73.940002,73.940002,21736200
2017-09-05,73.339996,73.889999,72.980003,73.610001,73.610001,21556000
2017-09-06,73.739998,74.040001,73.349998,73.400002,73.400002,16535800
2017-09-07,73.680000,74.599998,73.599998,74.339996,74.339996,17471200
2017-09-08,74.330002,74.440002,73.839996,73.980003,73.980003,14703800
2017-09-11,74.309998,74.940002,74.309998,74.760002,74.760002,17910400
2017-09-12,74.760002,75.239998,74.370003,74.680000,74.680000,14394900
2017-09-13,74.930000,75.230003,74.550003,75.209999,75.209999,13380800
2017-09-14,75.000000,75.489998,74.519997,74.769997,74.769997,15733900
2017-09-15,74.830002,75.389999,74.070000,75.309998,75.309998,38578400
2017-09-18,75.230003,75.970001,75.040001,75.160004,75.160004,23307000
2017-09-19,75.209999,75.709999,75.010002,75.440002,75.440002,16093300
2017-09-20,75.349998,75.550003,74.309998,74.940002,74.940002,21587900
2017-09-21,75.110001,75.239998,74.110001,74.209999,74.209999,19186100
2017-09-22,73.989998,74.510002,73.849998,74.410004,74.410004,14111400
2017-09-25,74.089996,74.250000,72.919998,73.260002,73.260002,24149200
2017-09-26,73.669998,73.809998,72.989998,73.260002,73.260002,18019600
2017-09-27,73.550003,74.169998,73.169998,73.849998,73.849998,19376600
2017-09-28,73.540001,73.970001,73.309998,73.709999,73.709999,7543923
